episode,reward,steps,loss
1,726.043,130,5433.46728515625
2,82.39599999999997,87,10060.826171875
3,-197.263,83,14059.6318359375
4,898.201,139,5885.68212890625
5,31.149999999999988,134,5100.2294921875
6,-604.596,87,29453.958984375
7,-631.993,76,27991.77734375
8,-97.19200000000002,104,8930.458984375
9,463.433,127,4895.14306640625
10,-308.086,90,9608.154296875
11,-621.485,90,36252.87890625
12,740.341,143,4737.94189453125
13,-673.139,95,32752.6875
14,-289.367,76,12650.3994140625
15,135.304,102,7606.923828125
16,24.93099999999998,115,4716.5478515625
17,-512.281,86,27461.30078125
18,860.9259999999999,156,5039.78369140625
19,-56.28399999999999,106,10768.001953125
20,-36.735,102,14024.951171875
21,-270.87600000000003,106,7341.91650390625
22,273.805,120,12343.080078125
23,381.218,133,5281.052734375
24,-617.147,82,28426.51953125
25,-20.42800000000001,83,8351.6240234375
26,17.326000000000004,114,8058.6728515625
27,-13.644999999999996,97,7316.82470703125
28,-71.132,113,13614.904296875
29,464.702,122,2762.54150390625
30,305.09999999999997,121,3998.9462890625
31,-727.461,78,50081.0703125
32,-399.75600000000003,87,28239.359375
33,-155.935,111,7727.62548828125
34,-222.871,83,16325.958984375
35,181.503,123,17090.501953125
36,201.685,113,6225.09716796875
37,645.316,135,4915.66259765625
38,493.11199999999997,126,3397.57861328125
39,33.64400000000001,122,4363.646484375
40,335.806,129,9397.2265625
41,154.386,116,11812.8134765625
42,-446.394,102,10253.7197265625
43,366.233,117,2597.694580078125
44,-75.87400000000001,102,10941.8701171875
45,457.951,141,3793.869873046875
46,356.343,112,3363.710693359375
47,-1177.219,56,94939.03125
48,-464.927,68,26032.6484375
49,-113.231,121,4631.55078125
50,124.769,106,3510.500244140625
51,-808.9300000000001,74,52455.55859375
52,715.592,138,5268.64208984375
53,-465.437,86,15213.111328125
54,-217.98600000000002,108,7179.47509765625
55,12.094,126,5720.25
56,397.36999999999995,126,4361.337890625
57,-345.803,87,16743.689453125
58,509.84499999999997,117,3236.22998046875
59,144.969,115,7070.08154296875
60,1258.2259999999999,169,7539.06591796875
61,872.96,122,6882.1142578125
62,25.786999999999978,62,12375.7744140625
63,-373.324,84,21215.810546875
64,-63.32999999999998,118,3767.626708984375
65,685.654,131,4765.75537109375
66,176.176,127,8557.1630859375
67,-268.632,119,18214.611328125
68,-278.942,93,12080.0205078125
69,88.97600000000001,112,2899.58447265625
70,44.34899999999998,83,13356.26953125
71,-1205.711,55,114552.3984375
72,847.188,126,6137.642578125
73,-589.628,82,19932.947265625
74,-27.531000000000013,142,11883.591796875
75,-128.752,109,12429.8154296875
76,-538.568,98,18630.58984375
77,-474.276,87,16652.60546875
78,79.781,102,15485.201171875
