episode,reward,cost_per_order
0,-933.4330000000001,0
1,-489.78200000000015,0
2,-188.5789999999998,0
3,-890.706,0
4,-591.654,0
5,-160.11699999999996,0
6,-42.8450000000001,0
7,47.80600000000004,0
8,-190.911,0
9,-72.40300000000002,0
10,-126.93899999999994,0
11,-165.5520000000001,0
12,-319.15099999999984,0
13,-123.16200000000009,0
14,-142.78399999999988,0
15,-172.6430000000001,0
16,-217.973,0
17,-55.50700000000007,0
18,-144.88599999999997,0
19,-571.9419999999999,0
20,-144.74900000000002,0
21,-25.250999999999767,0
22,-430.1050000000004,0
23,-155.91999999999996,0
24,-695.0429999999998,0
25,-169.44199999999998,0
26,-33.135000000000105,0
27,-323.205,0
28,-258.33899999999994,0
29,-124.32899999999982,0
30,-296.07399999999984,0
31,-211.35100000000023,0
32,-176.05499999999998,0
33,-354.6600000000001,0
34,-199.18900000000008,0
35,-125.67899999999997,0
36,-490.19700000000034,0
37,-828.9179999999982,0
38,-418.2250000000002,0
39,-714.8900000000003,0
40,-363.789,0
41,-712.6009999999995,0
42,-160.90100000000004,0
43,-1023.4630000000003,0
44,-235.75599999999986,0
45,-1043.1909999999973,0
46,-245.50600000000009,0
47,-1018.8499999999985,0
48,-1418.3959999999986,0
49,-147.84999999999994,0
50,-980.5479999999988,0
51,-447.69800000000004,0
52,-1503.1989999999985,0
53,-190.49899999999985,0
54,-660.7780000000007,0
55,-620.436000000001,0
56,-110.80900000000008,0
57,-390.41499999999985,0
58,-336.695,0
59,-326.836,0
60,-932.8279999999993,0
61,-40.483999999999995,0
62,-420.32700000000034,0
63,-217.01199999999986,0
64,-409.1230000000001,0
65,-1141.2029999999982,0
66,-1464.3889999999994,0
67,-253.3190000000003,0
68,-990.2339999999981,0
69,-740.3939999999999,0
70,-1067.5809999999992,0
71,-137.1879999999999,0
72,-799.7719999999991,0
73,-162.53899999999967,0
74,-837.6559999999997,0
75,-1030.1209999999999,0
76,-747.5079999999996,0
77,-619.5220000000002,0
78,-458.057,0
79,-933.7359999999976,0
80,-331.54999999999984,0
81,-984.6899999999999,0
82,-716.0529999999985,0
83,-581.7689999999998,0
84,-603.1570000000008,0
85,-444.9889999999998,0
86,-137.83399999999935,0
87,-972.8269999999977,0
88,-525.1599999999994,0
89,-531.5630000000002,0
90,-1130.8449999999975,0
91,-786.2049999999981,0
92,-730.5669999999999,0
93,-1201.318999999996,0
94,-1073.1939999999981,0
95,-352.4519999999997,0
96,123.31000000000033,0
97,-338.3030000000001,0
98,-58.62599999999987,0
99,-1769.6159999999977,0
100,-234.5099999999995,0
101,-658.8950000000001,0
102,-771.9469999999999,0
103,-272.4929999999993,0
104,-876.1059999999998,0
105,-349.7350000000002,0
106,-818.1129999999984,0
107,-849.7860000000002,0
108,-775.0349999999997,0
109,-727.055,0
110,-554.8250000000002,0
111,-357.05000000000007,0
112,-465.4700000000005,0
113,-937.1279999999991,0
114,-777.66,0
115,-502.0549999999996,0
116,-233.22299999999981,0
117,-925.289,0
118,-488.4220000000002,0
119,-507.50200000000046,0
120,-754.3160000000001,0
121,-673.5799999999997,0
122,-1092.173,0
123,-297.805,0
124,-1194.303,0
125,-1064.3119999999983,0
126,59.66500000000015,0
127,-1067.1789999999994,0
128,-1383.1169999999986,0
129,-1165.9549999999997,0
130,-565.748,0
131,-195.3299999999999,0
132,-1112.8139999999976,0
133,-821.7600000000003,0
134,-580.6390000000006,0
135,-710.3910000000003,0
136,-746.1159999999987,0
137,-268.87000000000006,0
138,-868.8809999999996,0
139,-1372.9029999999966,0
140,-230.8199999999998,0
141,-1432.2369999999999,0
142,-134.47700000000094,0
143,-1082.0199999999995,0
144,-1160.5989999999993,0
145,-1059.0589999999997,0
146,-533.8519999999993,0
147,-477.7650000000004,0
148,-953.2439999999992,0
149,-736.3249999999999,0
150,-1040.3379999999997,0
151,-1366.6689999999987,0
152,-1489.0639999999973,0
153,-955.2539999999987,0
154,-343.17600000000016,0
155,-644.5329999999998,0
156,-960.2099999999996,0
157,-1367.9829999999963,0
158,-651.2139999999999,0
159,-1136.6009999999972,0
160,-585.0949999999993,0
161,-952.8879999999981,0
162,-810.0449999999993,0
163,-433.9419999999998,0
164,-918.3789999999998,0
165,-1059.0159999999967,0
166,-420.55899999999957,0
167,76.46200000000066,0
168,-541.5670000000001,0
169,-198.05500000000015,0
170,-334.75800000000015,0
171,-766.9140000000002,0
172,-1167.186999999999,0
173,-579.7940000000001,0
174,233.51300000000037,0
175,54.776000000000565,0
176,-675.2090000000004,0
177,-329.347,0
178,-416.1110000000002,0
179,-224.2989999999998,0
180,-430.23299999999995,0
181,-715.6589999999999,0
182,-735.0140000000015,0
183,-537.1639999999994,0
184,-348.23400000000004,0
185,-822.2399999999992,0
186,-144.60200000000003,0
187,-1038.0709999999979,0
188,-115.50300000000024,0
189,-1044.4649999999986,0
190,-451.5449999999995,0
191,-80.25599999999949,0
192,-578.7419999999998,0
193,-525.8180000000001,0
194,-484.2019999999995,0
195,-651.22,0
196,-107.19499999999992,0
197,-1162.383999999998,0
198,-402.0239999999998,0
199,-494.2239999999998,0
200,-437.4479999999997,0
201,-381.2369999999997,0
202,-337.1930000000001,0
203,-282.13,0
204,-571.3359999999994,0
205,-453.462,0
206,-91.47299999999987,0
207,82.51400000000001,0
208,-834.0910000000003,0
209,-761.1169999999998,0
210,-238.81399999999994,0
211,-963.6110000000001,0
212,-564.2069999999999,0
213,-227.6259999999991,0
214,-458.0219999999997,0
215,-438.73400000000015,0
216,-807.5679999999978,0
217,-168.85199999999955,0
218,64.72900000000038,0
219,-594.2850000000003,0
220,-529.394,0
221,-723.0699999999988,0
222,-275.597,0
223,-789.8949999999987,0
224,-395.57600000000014,0
225,-773.8259999999983,0
