episode,reward,cost_per_order
0,-210.43700000000007,0
1,-198.42199999999994,0
2,112.71499999999999,0
3,-638.739,0
4,-16.824000000000012,0
5,226.15399999999994,0
6,-526.368,0
7,-85.47999999999999,0
8,26.74599999999981,0
9,-83.1679999999999,0
10,-17.965000000000032,0
11,-367.804,0
12,-84.41099999999996,0
13,-191.4530000000001,0
14,-138.26599999999996,0
15,-373.31699999999995,0
16,-1476.2879999999996,0
17,-271.894,0
18,-41.28299999999993,0
19,-18.030999999999956,0
20,-83.48000000000006,0
21,-281.0290000000001,0
22,-79.40900000000008,0
23,-94.10900000000002,0
24,-76.73500000000007,0
25,-616.173,0
26,-551.1119999999999,0
27,-205.04700000000003,0
28,-624.8919999999999,0
29,-250.05899999999997,0
30,-56.09000000000006,0
31,-300.1669999999998,0
32,-741.0459999999998,0
33,-1494.8269999999993,0
34,-168.27499999999995,0
35,-93.64900000000011,0
36,-93.06699999999996,0
37,-63.319999999999965,0
38,-84.37799999999996,0
39,-255.669,0
40,-108.39300000000006,0
41,-93.01099999999991,0
42,-108.02599999999998,0
43,-24.207000000000164,0
44,-48.001000000000005,0
45,-235.58800000000002,0
46,-130.69400000000007,0
47,-32.03000000000009,0
48,-3.0179999999999154,0
49,-48.027,0
50,-33.240999999999886,0
51,-74.397,0
52,-388.4830000000002,0
53,-33.017000000000024,0
54,-98.87999999999997,0
55,-264.678,0
56,-173.26000000000002,0
57,-3.013999999999953,0
58,-55.023999999999944,0
59,-274.1749999999999,0
60,-168.01800000000003,0
61,-18.216000000000065,0
62,-143.91100000000006,0
63,-310.193,0
64,-149.51700000000008,0
65,-400.53400000000033,0
66,-138.273,0
67,-153.63799999999992,0
68,-595.7690000000009,0
69,-109.75200000000018,0
70,-567.2460000000007,0
71,-429.6600000000006,0
72,-700.0579999999993,0
73,-1142.439999999999,0
74,-725.5750000000002,0
75,-33.195000000000164,0
76,-168.94900000000032,0
77,-599.894,0
78,-278.66999999999996,0
79,-1204.5079999999975,0
80,-1047.2019999999982,0
81,-259.3350000000002,0
82,-1012.0450000000001,0
83,-1390.8769999999986,0
84,-1338.6219999999985,0
85,-1552.9159999999986,0
86,-1105.9359999999983,0
87,-272.48,0
88,-1318.8829999999998,0
89,-1059.1499999999994,0
90,-354.65200000000004,0
91,-19.38999999999993,0
92,-245.01300000000003,0
93,-592.3749999999998,0
94,-993.1890000000003,0
95,-1023.9239999999977,0
96,-593.599,0
97,-872.4369999999997,0
98,-1290.0759999999975,0
99,-840.2419999999975,0
100,-962.1209999999999,0
101,-1139.0929999999992,0
102,-1071.4119999999978,0
103,-1462.028999999996,0
104,-1309.0699999999986,0
105,-1312.304999999995,0
106,-331.49500000000006,0
107,-1416.8579999999974,0
108,-1227.2769999999948,0
109,-986.4609999999971,0
110,-1422.8979999999983,0
111,-1048.7669999999985,0
112,-1603.4769999999965,0
113,-938.4279999999984,0
114,-1493.226999999992,0
115,-1205.8109999999992,0
116,-1051.7799999999986,0
117,-588.8419999999985,0
118,-691.1620000000004,0
119,-1343.215999999997,0
120,-854.4749999999997,0
121,-862.0519999999989,0
122,-1039.0789999999993,0
123,-743.7609999999999,0
124,-666.7879999999999,0
125,-803.9299999999998,0
126,-1208.6429999999978,0
127,-1246.8199999999993,0
128,-1300.9529999999986,0
129,-992.9849999999998,0
130,-1102.9219999999996,0
131,-559.8009999999999,0
132,-788.886,0
133,-896.579,0
134,-766.6169999999997,0
135,-513.9960000000001,0
136,-1173.2019999999984,0
137,-973.7819999999988,0
138,-1115.9009999999985,0
139,-416.1479999999999,0
140,-1418.1959999999992,0
141,-1361.0429999999978,0
142,-1436.2709999999963,0
143,-1251.7259999999985,0
144,-895.1369999999996,0
145,-1255.2159999999992,0
146,-988.2519999999994,0
147,-1272.5749999999964,0
148,-898.035999999999,0
149,-1960.0669999999986,0
150,-553.5329999999999,0
151,-228.13499999999982,0
152,-1211.2509999999986,0
153,-1123.953999999996,0
154,-1389.6169999999993,0
155,-1131.2879999999998,0
156,-902.3419999999971,0
157,-1094.2799999999984,0
158,-530.6299999999998,0
159,-935.2319999999995,0
160,-1327.3009999999979,0
161,-563.4590000000001,0
