episode,reward,cost_per_order
0,-138.77799999999988,0
1,217.76799999999997,0
2,-270.2370000000001,0
3,-470.8670000000002,0
4,-762.97,0
5,-100.1350000000002,0
6,-116.3600000000001,0
7,-463.6830000000001,0
8,-193.06500000000017,0
9,-385.1630000000001,0
10,10.74199999999999,0
11,-499.063,0
12,-220.27900000000002,0
13,-512.708,0
14,-189.26699999999994,0
15,-184.20899999999995,0
16,-66.45800000000003,0
17,-124.53400000000008,0
18,-163.2310000000001,0
19,-365.6550000000003,0
20,-440.78,0
21,38.02999999999997,0
22,-533.0420000000001,0
23,-185.68600000000026,0
24,-906.9449999999993,0
25,-667.2210000000005,0
26,-659.8780000000002,0
27,-114.37300000000005,0
28,-600.9480000000001,0
29,-65.20100000000005,0
30,-182.9550000000002,0
31,-324.10400000000004,0
32,-730.5810000000005,0
33,-324.099,0
34,-72.50399999999989,0
35,-245.71100000000004,0
36,-1191.7889999999998,0
37,-116.79800000000003,0
38,-442.73900000000015,0
39,-107.5439999999999,0
40,-229.95499999999998,0
41,38.23600000000043,0
42,-281.637,0
43,-130.44000000000008,0
44,-137.33099999999976,0
45,-44.27399999999987,0
46,-1106.6269999999965,0
47,-227.20999999999995,0
48,-342.1669999999999,0
49,-600.7510000000001,0
50,-802.6320000000007,0
51,-469.12099999999987,0
52,-949.1629999999999,0
53,-42.04500000000026,0
54,-1214.4019999999966,0
55,-109.93300000000013,0
56,-405.4020000000001,0
57,-856.7929999999988,0
58,-184.1700000000003,0
59,-750.7180000000002,0
60,-865.1709999999983,0
61,-315.8119999999998,0
62,-211.00300000000047,0
63,-680.8389999999997,0
64,-491.05700000000024,0
65,-1022.1419999999989,0
66,-1400.279999999998,0
67,-1066.0009999999995,0
68,-575.2900000000013,0
69,-35.02300000000008,0
70,-405.6070000000001,0
71,-241.67799999999977,0
72,-217.9030000000001,0
73,-511.7910000000004,0
74,-468.557,0
75,-241.8380000000002,0
76,-185.0399999999999,0
77,-875.387,0
78,-694.2100000000006,0
79,-532.6770000000002,0
80,-1029.690999999999,0
81,-423.72400000000033,0
82,-206.92999999999984,0
83,-34.77999999999986,0
84,-401.4480000000001,0
85,-475.22100000000086,0
86,-542.5540000000003,0
87,-669.365,0
88,-443.1529999999999,0
89,-663.1079999999998,0
90,-151.21900000000022,0
91,-302.7649999999999,0
92,-147.4549999999996,0
93,-572.015,0
94,-572.3030000000003,0
95,-257.47900000000016,0
96,-285.75199999999967,0
97,-995.4799999999988,0
98,-250.5300000000002,0
99,-555.1640000000003,0
100,-366.9780000000002,0
101,-111.23099999999965,0
102,-365.126,0
103,-146.6759999999998,0
104,-1128.6609999999978,0
105,-127.57400000000024,0
106,-1374.831999999999,0
107,-389.79199999999986,0
108,-17.64500000000001,0
109,-1353.6679999999994,0
110,-298.429,0
111,-557.7760000000005,0
112,-333.06599999999986,0
113,-101.94399999999992,0
114,-408.9780000000001,0
115,-259.49300000000005,0
116,-328.04099999999994,0
117,-340.58299999999986,0
118,-1208.2489999999966,0
119,-401.039,0
120,-886.3120000000001,0
121,-756.1409999999998,0
122,-389.85600000000034,0
