episode,reward,cost_per_order
0,-58.005000000000024,0
1,-39.672000000000295,0
2,-127.37100000000022,0
3,-143.86,0
4,-359.0479999999999,0
5,-266.8109999999999,0
6,-182.96599999999978,0
7,-644.7320000000001,0
8,-169.42100000000005,0
9,-249.13800000000026,0
10,-542.5680000000001,0
11,-61.93899999999965,0
12,-184.1669999999997,0
13,-1202.8729999999998,0
14,-319.2850000000001,0
15,-1414.916,0
16,-68.82,0
17,-231.24700000000004,0
18,-114.73700000000004,0
19,-360.8670000000001,0
20,-422.20500000000044,0
21,-229.18299999999996,0
22,-528.8860000000005,0
23,-1218.7279999999978,0
24,-198.44599999999997,0
25,-213.9940000000001,0
26,-255.92000000000004,0
27,-296.0459999999999,0
28,-436.0149999999998,0
29,-628.0130000000007,0
30,-123.29399999999987,0
31,-256.7589999999998,0
32,-183.46300000000005,0
33,-304.3580000000001,0
34,-668.8970000000007,0
35,-160.1899999999996,0
36,-551.8910000000008,0
37,-387.04099999999994,0
38,-11.492999999999839,0
39,-123.43100000000001,0
40,-1163.829,0
41,-214.2070000000001,0
42,-232.0510000000001,0
43,-327.5829999999999,0
44,-1258.520999999997,0
45,-240.17700000000002,0
46,-1329.7359999999996,0
47,-437.6909999999998,0
48,-465.3109999999997,0
49,-234.39399999999944,0
50,-444.11500000000046,0
51,-856.8390000000004,0
52,-891.1670000000009,0
53,-578.6100000000014,0
54,-356.70799999999997,0
55,-929.3859999999999,0
56,-1200.7659999999978,0
57,-279.546,0
58,-1152.0529999999987,0
59,-1283.2879999999975,0
60,-199.33400000000006,0
61,-259.2679999999999,0
62,-351.05600000000004,0
63,-439.56899999999996,0
64,-214.47500000000002,0
65,-371.6239999999998,0
66,-244.74699999999987,0
67,-419.9789999999997,0
68,-766.6980000000003,0
69,-406.38000000000073,0
70,-138.5379999999999,0
71,-216.02500000000018,0
72,-235.94200000000006,0
73,-259.1179999999998,0
74,-451.0640000000002,0
75,-48.19500000000008,0
76,-907.2999999999995,0
77,-475.95800000000116,0
78,-365.04000000000053,0
79,-594.3000000000013,0
80,-38.51800000000004,0
81,-476.3159999999998,0
82,-774.9549999999998,0
83,-170.38799999999986,0
84,-301.54600000000016,0
85,-251.93800000000005,0
86,-751.1620000000004,0
87,-204.72299999999993,0
88,-130.04999999999993,0
89,-431.3600000000001,0
90,-175.1339999999999,0
91,-364.30800000000005,0
92,-235.92999999999995,0
93,-132.33499999999998,0
94,-1085.1139999999987,0
95,-641.2210000000008,0
96,-450.02200000000033,0
97,-632.8720000000001,0
98,-379.15200000000004,0
99,-244.20800000000008,0
100,-379.08400000000023,0
101,-138.02599999999995,0
102,-1287.496999999998,0
103,-125.017,0
104,-983.1609999999962,0
105,-195.05700000000002,0
106,-888.0079999999981,0
107,-1378.8969999999977,0
108,-445.1290000000002,0
109,-401.31500000000045,0
110,-1346.646999999993,0
111,-1642.9049999999982,0
112,-1266.1449999999984,0
113,-94.74499999999996,0
114,-1160.9440000000002,0
115,-311.3559999999999,0
116,-192.39099999999985,0
117,-424.306,0
118,-326.0889999999997,0
119,-777.8710000000003,0
120,-349.5520000000001,0
121,-727.1899999999998,0
122,-1369.239999999996,0
123,-421.4989999999997,0
124,-1476.9929999999965,0
125,-421.4920000000008,0
126,-1797.585999999995,0
127,-658.0020000000011,0
128,-1449.780999999997,0
129,-1482.9939999999979,0
130,-665.9070000000006,0
131,-1269.8509999999915,0
132,-671.9090000000001,0
133,-1408.424999999991,0
134,-685.8939999999997,0
135,-562.2470000000003,0
136,-1199.323999999998,0
137,-1883.3029999999944,0
138,-695.9450000000006,0
139,-1318.9359999999945,0
140,-1437.303999999996,0
141,-483.69499999999994,0
142,-1511.3659999999968,0
143,-1375.5399999999984,0
144,-1058.1269999999986,0
145,-1610.3249999999975,0
146,-810.9389999999989,0
147,-1211.8799999999953,0
148,-1127.577999999994,0
149,-717.502999999999,0
150,-682.5530000000003,0
151,-1362.5679999999966,0
152,-759.4230000000005,0
153,-1071.7619999999981,0
154,-521.3860000000003,0
155,-812.1449999999983,0
156,-1417.8239999999964,0
157,-1431.3289999999938,0
158,-773.4699999999987,0
159,-1311.3369999999982,0
160,-1174.2589999999966,0
161,-1161.6189999999958,0
162,-1243.2229999999975,0
163,-1292.5369999999966,0
164,-1676.9789999999878,0
165,-1480.4229999999984,0
166,-1681.5479999999925,0
167,-1037.1789999999953,0
168,-942.5869999999984,0
