episode,epsilon,loss,assign,charge,noop,cost_per_order,success_rate,ontime_rate,energy_per_order,n_delivered,n_dropped,depletion_events,episode_return
0,0.9184927597143733,5.150442901779623,134,53,46,3.153150000000018,0.8450704225352113,0.8583333333333333,0.27148333333335123,120.0,22.0,0.0,1336.1620000000016
1,0.8133842554079241,4.117447585235407,126,67,50,1.8677826086956706,0.905511811023622,0.9478260869565217,0.27300000000001834,115.0,12.0,0.0,1479.7050000000017
2,0.7333900973347661,3.7730253445353483,132,55,20,3.33370940170942,0.8357142857142857,0.8888888888888888,0.2772991452991635,117.0,23.0,0.0,1299.7560000000008
3,0.6576352813905723,3.522939294850061,126,49,43,2.4891652173913235,0.8778625954198473,0.8869565217391304,0.2769913043478452,115.0,16.0,0.0,1373.3160000000005
4,0.5908863721009223,3.7382275166912615,138,47,29,3.7627863247863425,0.8181818181818182,0.8632478632478633,0.2781709401709581,117.0,26.0,0.0,1234.4640000000006
5,0.5354454953177946,3.987666615374802,125,47,25,3.392227272727293,0.8396946564885496,0.8454545454545455,0.2885909090909289,110.0,21.0,0.0,1191.6049999999996
6,0.48254447526744126,4.345261882130917,143,44,21,4.141286885245919,0.7973856209150327,0.9098360655737705,0.2650573770491979,122.0,31.0,0.0,1269.5530000000003
7,0.43595878531621046,4.961258504191056,130,55,18,3.3082966101695095,0.8368794326241135,0.8898305084745762,0.2659237288135775,118.0,23.0,0.0,1314.441
8,0.3988260880691159,4.847118751386578,116,42,20,3.667490384615403,0.8188976377952756,0.9423076923076923,0.2886442307692493,104.0,23.0,0.0,1148.381
9,0.36212929599981525,4.684068562453275,116,48,29,0.9937431192660742,0.956140350877193,0.9724770642201835,0.2864036697247897,109.0,5.0,0.0,1511.3920000000014
10,0.32864464519456565,4.737328412606544,126,46,22,0.8457586206896742,0.9666666666666667,0.9482758620689655,0.2750689655172604,116.0,4.0,0.0,1611.6719999999991
11,0.2966198722696636,5.0248641014099125,139,44,22,3.042669491525441,0.8489208633093526,0.8813559322033898,0.2799576271186612,118.0,21.0,0.0,1340.7450000000006
12,0.2713553374433444,5.118263579486461,120,41,17,4.169546296296316,0.8,0.8703703703703703,0.2917685185185383,108.0,27.0,0.0,1099.5190000000005
13,0.24638738601553387,5.31912767948882,128,43,22,2.6972905982906155,0.8666666666666667,0.8888888888888888,0.2810512820512995,117.0,18.0,0.0,1374.1970000000001
