episode,epsilon,loss,assign,charge,noop,cost_per_order,success_rate,ontime_rate,energy_per_order,n_delivered,n_dropped,depletion_events,episode_return
0,0.9107167220751963,4.4881733445560235,138,51,61,3.159373983739855,0.8424657534246576,0.8861788617886179,0.26343902439026146,123.0,23.0,0.0,1385.7870000000014
1,0.8060948262471712,4.456704923363983,123,62,59,3.312696428571448,0.835820895522388,0.8928571428571429,0.28948214285716184,112.0,22.0,0.0,1248.3880000000006
2,0.7206642647962122,3.9817312029855594,129,54,41,2.9783277310924556,0.85,0.8991596638655462,0.2682436974790101,119.0,21.0,0.0,1370.1689999999999
3,0.6459008393562715,3.5821414124475766,127,52,40,2.0228559322034085,0.9007633587786259,0.8813559322033898,0.27370338983052706,118.0,13.0,0.0,1460.9030000000005
4,0.5817959930287196,3.7551775035675634,123,46,40,5.818901785714305,0.7368421052631579,0.8214285714285714,0.2876517857143051,112.0,40.0,0.0,927.883
5,0.5279996394012851,3.931615593507118,120,51,23,1.4171681415929398,0.9338842975206612,0.9026548672566371,0.28353982300886915,113.0,8.0,0.0,1479.63
6,0.475834256080675,4.061813787772105,129,48,31,3.619294117647078,0.8206896551724138,0.9243697478991597,0.2713949579832121,119.0,26.0,0.0,1308.9940000000015
7,0.4307572510399836,4.217420241341519,132,44,23,3.8306694214876216,0.8120805369127517,0.8842975206611571,0.2653801652892744,121.0,28.0,0.0,1281.259
8,0.3944619567149307,4.431825922294096,124,44,8,2.984018518518537,0.8503937007874016,0.9166666666666666,0.2756851851852034,108.0,19.0,0.0,1252.6460000000006
9,0.356736554958791,4.512945796719831,126,47,28,2.4083793103448463,0.8787878787878788,0.9396551724137931,0.27131034482760513,116.0,16.0,0.0,1425.3480000000004
10,0.3250484702115736,4.775198610880041,129,41,16,3.4546869565217566,0.8273381294964028,0.9043478260869565,0.2677304347826262,115.0,24.0,0.0,1272.5510000000002
11,0.29706524737892953,4.681112666924794,123,43,14,1.0827543859649318,0.95,0.9736842105263158,0.2643333333333527,114.0,6.0,0.0,1571.4259999999995
12,0.2706776271489703,4.802308991391172,126,42,18,4.081886956521757,0.8041958041958042,0.8521739130434782,0.28536521739132226,115.0,28.0,0.0,1170.4029999999998
13,0.24688077737253777,5.080219612173412,126,42,16,0.9411367521367711,0.9590163934426229,0.9487179487179487,0.2701965811966002,117.0,5.0,0.0,1614.7270000000012
14,0.22461367006939464,5.206910236802681,134,40,15,4.539566666666684,0.7843137254901961,0.875,0.27206666666668405,120.0,33.0,0.0,1180.102
15,0.20394651364950012,5.638159609829206,128,45,20,1.2890826446281174,0.937984496124031,0.9421487603305785,0.2651157024793572,121.0,8.0,0.0,1623.8210000000006
16,0.18722973445797636,5.477667928439135,124,40,7,3.3660733944954297,0.8320610687022901,0.926605504587156,0.2679082568807508,109.0,22.0,0.0,1228.0280000000007
17,0.1717972293396819,5.455564544644466,119,39,14,3.555666666666685,0.8244274809160306,0.8796296296296297,0.2862222222222408,108.0,23.0,0.0,1170.8480000000004
18,0.15692880789867683,5.91944057638474,132,39,10,3.4790086956521926,0.8273381294964028,0.9304347826086956,0.27987826086958406,115.0,24.0,0.0,1284.8140000000003
19,0.1427748075685445,5.910651561444398,126,39,24,4.771547826086976,0.7718120805369127,0.9391304347826087,0.2767652173913235,115.0,34.0,0.0,1141.0320000000002
20,0.12989740984584922,6.051000479037169,124,40,25,1.7730521739130614,0.9126984126984127,0.9217391304347826,0.2713130434782787,115.0,11.0,0.0,1475.8490000000015
21,0.11859593680123909,6.029311675291795,130,41,11,1.741322033898323,0.9147286821705426,0.9322033898305084,0.27522033898306886,118.0,11.0,0.0,1524.4139999999998
22,0.10849455299088225,5.92667525270012,122,40,16,1.6424912280701947,0.9193548387096774,0.9473684210526315,0.27933333333335253,114.0,10.0,0.0,1492.5960000000007
23,0.0995020589246264,6.359711936443527,126,40,7,2.3907105263158073,0.8837209302325582,0.8771929824561403,0.28720175438598283,114.0,15.0,0.0,1367.389
24,0.0910725283844399,6.0671833692970925,125,45,7,1.3307327586207083,0.9354838709677419,0.9568965517241379,0.26866379310346705,116.0,8.0,0.0,1560.5649999999998
25,0.08323215044309698,6.240351370970408,133,42,5,4.02770588235296,0.8040540540540541,0.8991596638655462,0.2705630252101022,119.0,29.0,0.0,1245.6530000000007
26,0.07656291451660126,6.121499535566318,124,41,2,4.666550458715616,0.7785714285714286,0.8990825688073395,0.29590825688075373,109.0,31.0,0.0,1071.326
27,0.06976200754485497,6.530778276023044,127,47,12,2.969017241379329,0.8529411764705882,0.9137931034482759,0.280224137931053,116.0,20.0,0.0,1345.4740000000002
28,0.06318486526458533,6.870269465928126,144,41,13,5.75204065040652,0.7365269461077845,0.8617886178861789,0.2699268292683086,123.0,44.0,0.0,1052.3689999999997
29,0.05780310774187243,6.514102997404806,126,46,6,0.9493697478991775,0.9596774193548387,0.9327731092436975,0.26365546218489183,119.0,5.0,0.0,1631.9650000000004
30,0.05272129922288752,6.739787306474603,128,41,15,3.2315083333333514,0.8391608391608392,0.9,0.2681750000000181,120.0,23.0,0.0,1352.0689999999995
31,0.05,6.571211437035722,127,41,3,2.0084915254237465,0.9007633587786259,0.9152542372881356,0.26781355932205175,118.0,13.0,0.0,1482.9680000000005
32,0.05,6.817891284581777,130,47,8,3.3666470588235473,0.8321678321678322,0.8739495798319328,0.27252941176472384,119.0,24.0,0.0,1309.288999999999
33,0.05,7.167045342093483,129,57,1,1.163731092436992,0.9444444444444444,0.957983193277311,0.2620504201680843,119.0,7.0,0.0,1621.5060000000008
34,0.05,7.128832991657362,126,47,10,2.0635000000000194,0.8976377952755905,0.8947368421052632,0.2801666666666859,114.0,13.0,0.0,1414.661
35,0.05,6.781276535452082,123,53,2,3.378728070175457,0.8321167883211679,0.8859649122807017,0.28399122807019406,114.0,23.0,0.0,1259.8050000000012
36,0.05,6.777193303968086,127,50,6,6.229964912280721,0.7215189873417721,0.8508771929824561,0.2852280701754571,114.0,44.0,0.0,914.7239999999999
37,0.05,6.859299471844798,130,49,5,1.9128016528925789,0.9097744360902256,0.8429752066115702,0.271479338842992,121.0,12.0,0.0,1488.5010000000002
38,0.05,7.025127591386354,126,49,2,3.5429646017699303,0.8248175182481752,0.8849557522123894,0.2801327433628508,113.0,24.0,0.0,1229.625
39,0.05,7.10893119936404,120,52,12,2.1842222222222403,0.8925619834710744,0.9166666666666666,0.2777407407407587,108.0,13.0,0.0,1338.9839999999995
40,0.05,6.884191216722047,127,49,1,3.9038899082568994,0.8074074074074075,0.944954128440367,0.284623853211028,109.0,26.0,0.0,1179.466
41,0.05,6.900588292155774,140,54,3,2.5436614173228507,0.8698630136986302,0.9291338582677166,0.2570472440945044,127.0,19.0,0.0,1536.9250000000006
42,0.05,6.884309419904437,132,42,1,3.1236410256410427,0.841726618705036,0.9316239316239316,0.263811965811983,117.0,22.0,0.0,1349.5240000000003
43,0.05,6.897748052028188,121,48,2,1.9513693693693885,0.9024390243902439,0.918918918918919,0.28380180180182096,111.0,12.0,0.0,1403.3780000000008
44,0.05,6.6682608244849035,127,47,9,2.7778000000000187,0.8646616541353384,0.8347826086956521,0.2795391304348015,115.0,18.0,0.0,1310.4630000000002
45,0.05,6.788790282556566,127,44,6,4.292456140350897,0.7916666666666666,0.8947368421052632,0.2792982456140542,114.0,30.0,0.0,1160.6000000000004
46,0.05,7.137237716165388,121,38,2,5.923257425742593,0.7318840579710145,0.8613861386138614,0.29256435643566175,101.0,37.0,0.0,846.7309999999999
47,0.05,7.368072469582718,129,48,1,2.0680413223140666,0.8962962962962963,0.9256198347107438,0.27134710743803336,121.0,14.0,0.0,1519.7569999999998
48,0.05,6.903466521082698,135,45,5,3.1774878048780675,0.8424657534246576,0.8861788617886179,0.2579756097561163,123.0,23.0,0.0,1384.1190000000008
