episode,epsilon,loss,assign,charge,noop,cost_per_order,success_rate,ontime_rate,energy_per_order,n_delivered,n_dropped,depletion_events,episode_return
0,0.9107167220751963,4.484091976747155,138,52,60,3.1913305785124146,0.8402777777777778,0.9008264462809917,0.2673636363636543,121.0,23.0,0.0,1368.2490000000016
1,0.8105416772245603,3.724689674991395,128,56,49,3.2067964601770096,0.8432835820895522,0.8938053097345132,0.2882123893805497,113.0,21.0,0.0,1272.1420000000007
2,0.7264541551822697,3.219052472071016,124,50,45,3.629327586206916,0.8226950354609929,0.8793103448275862,0.27501724137932926,116.0,25.0,0.0,1248.5480000000002
3,0.6520676852970176,3.0091912580860987,125,52,39,2.260641025641044,0.8863636363636364,0.9145299145299145,0.2777350427350611,117.0,15.0,0.0,1440.1150000000011
4,0.5870571118687166,2.9999876516205926,131,47,32,4.862282051282071,0.7697368421052632,0.8803418803418803,0.2742478632478819,117.0,35.0,0.0,1115.793
5,0.5325078964365801,3.193031521943899,122,47,26,1.5143008849557718,0.9262295081967213,0.9469026548672567,0.2824424778761258,113.0,9.0,0.0,1493.6240000000005
6,0.48302738189248823,3.2907164842654497,129,43,23,4.05351282051284,0.8013698630136986,0.8888888888888888,0.2748803418803614,117.0,29.0,0.0,1215.5090000000005
7,0.4381445856844652,3.378910776285025,132,42,21,3.844508064516147,0.8104575163398693,0.9032258064516129,0.2574112903225984,124.0,29.0,0.0,1323.0710000000001
8,0.4008257133537371,3.7399870492099376,122,40,16,2.31191964285716,0.8818897637795275,0.9553571428571429,0.2601339285714458,112.0,15.0,0.0,1395.9050000000007
9,0.36285446082117084,3.624715888919543,131,48,20,2.1738264462810095,0.8897058823529411,0.9421487603305785,0.2614297520661336,121.0,15.0,0.0,1516.7670000000007
10,0.3322806064731211,3.7254935787482695,124,41,11,3.747643478260888,0.8156028368794326,0.9217391304347826,0.26938260869567004,115.0,26.0,0.0,1248.911
11,0.3038266868222982,3.8735293369719437,121,42,16,1.2789375000000205,0.9411764705882353,0.9285714285714286,0.2753660714285919,112.0,7.0,0.0,1496.5990000000015
12,0.2769769520095422,4.038345201595409,132,43,10,4.040460869565234,0.8041958041958042,0.8869565217391304,0.2865478260869741,115.0,28.0,0.0,1195.2470000000003
13,0.2527526681581832,4.394780773934119,124,45,14,1.1216754385965104,0.95,0.9210526315789473,0.27167543859651044,114.0,6.0,0.0,1536.9890000000016
14,0.22903773717722073,4.497461205206546,141,43,13,5.492491379310363,0.7483870967741936,0.8362068965517241,0.2830086206896728,116.0,39.0,0.0,1007.7409999999994
15,0.20911075159699508,4.572739374506605,130,47,5,1.0943613445378337,0.952,0.9243697478991597,0.269991596638674,119.0,6.0,0.0,1609.7209999999993
16,0.19168286590167583,4.5793579282431764,125,44,5,3.302449541284422,0.8384615384615385,0.8807339449541285,0.2749266055046052,109.0,21.0,0.0,1209.983
17,0.17509341539540144,4.775947096598083,125,43,13,2.778321428571446,0.8615384615384616,0.8839285714285714,0.2729642857143029,112.0,18.0,0.0,1303.6979999999999
18,0.15962008150233228,4.824240636825562,134,40,11,3.2372389380531166,0.8432835820895522,0.8230088495575221,0.28502654867258553,113.0,21.0,0.0,1229.082
19,0.14631688922811825,4.891688309866806,129,42,3,4.780947826086975,0.7718120805369127,0.9304347826086956,0.2826869565217574,115.0,34.0,0.0,1135.1609999999994
20,0.13285397739547844,5.065419857983762,131,46,16,1.564571428571447,0.9224806201550387,0.9159663865546218,0.2670924369748083,119.0,10.0,0.0,1548.656
21,0.12135595188236609,5.167720665589222,132,43,6,1.5823114754098535,0.9242424242424242,0.8852459016393442,0.26591803278690285,122.0,10.0,0.0,1566.8980000000008
22,0.11135312645518762,5.1169980140619495,121,47,4,1.599566371681435,0.9262295081967213,0.8672566371681416,0.2854070796460368,113.0,9.0,0.0,1439.2090000000005
23,0.101715920900285,5.103410313801212,132,42,7,2.3588376068376244,0.8863636363636364,0.8205128205128205,0.2793504273504451,117.0,15.0,0.0,1373.9459999999995
24,0.09365925099098643,5.03377773400509,119,43,3,1.395265486725683,0.9338842975206612,0.9203539823008849,0.27845132743364764,113.0,8.0,0.0,1492.3050000000019
25,0.08572470646867088,4.874610041494424,131,42,4,3.684722689075649,0.8206896551724138,0.8571428571428571,0.26791596638657295,119.0,26.0,0.0,1261.4780000000003
