episode,epsilon,loss,assign,charge,noop,cost_per_order,success_rate,ontime_rate,energy_per_order,n_delivered,n_dropped,depletion_events,episode_return
0,0.9217139234789336,5.071382209567204,135,53,38,3.339427350427369,0.8357142857142857,0.8717948717948718,0.27703418803420665,117.0,23.0,0.0,1288.9070000000013
1,0.8223831352025393,3.4517956491102253,128,56,44,1.8806101694915438,0.9076923076923077,0.8983050847457628,0.2695932203390014,118.0,12.0,0.0,1487.6480000000004
2,0.7348587128397597,3.2918956995010378,131,52,42,2.37923387096776,0.8794326241134752,0.9354838709677419,0.2598790322580821,124.0,17.0,0.0,1524.5549999999998
3,0.6619249094002023,3.132651322766354,125,51,33,2.8534956521739323,0.8582089552238806,0.8956521739130435,0.27610434782610604,115.0,19.0,0.0,1336.5180000000007
4,0.5968263714298979,3.095738644761164,133,53,21,2.985885245901657,0.8531468531468531,0.8688524590163934,0.26539344262296827,122.0,21.0,0.0,1385.5120000000002
5,0.5389381029368515,3.2053614083458397,125,47,32,3.359553571428591,0.835820895522388,0.8571428571428571,0.28544642857144836,112.0,22.0,0.0,1223.4099999999999
6,0.48230320302980756,3.3527892253420375,140,42,40,4.675184873949598,0.7828947368421053,0.7815126050420168,0.2718235294117828,119.0,33.0,0.0,1098.2529999999997
7,0.4355229355205906,3.7015862266222634,130,45,29,3.076421487603324,0.8461538461538461,0.8677685950413223,0.26237190082646433,121.0,22.0,0.0,1362.4630000000006
8,0.39802903393272177,3.719048609998491,122,40,18,2.9892407407407577,0.8503937007874016,0.9074074074074074,0.27350000000001723,108.0,19.0,0.0,1246.982
9,0.3624916970739649,3.907845851571802,116,47,24,0.7212612612612799,0.9736842105263158,0.954954954954955,0.2798198198198384,111.0,3.0,0.0,1559.7000000000019
10,0.33029239633684443,3.9280594369416595,124,43,19,1.0886465517241566,0.9508196721311475,0.9568965517241379,0.2731293103448462,116.0,6.0,0.0,1588.5270000000007
11,0.300201653955046,3.985202780568787,130,47,14,2.926075000000017,0.8571428571428571,0.8583333333333333,0.2752416666666833,120.0,20.0,0.0,1363.731
12,0.27449472561111954,4.157990475606652,126,42,11,3.7167927927928126,0.8222222222222222,0.8198198198198198,0.2852612612612807,111.0,24.0,0.0,1152.3260000000005
13,0.2499869367354886,4.321648627041496,130,43,14,2.089538461538479,0.9,0.8632478632478633,0.279282051282069,117.0,13.0,0.0,1430.3840000000007
14,0.2284657151423951,4.433605440457662,133,41,6,2.2126528925620015,0.8897058823529411,0.9173553719008265,0.26141322314051385,121.0,15.0,0.0,1497.2090000000005
15,0.20921535927663337,4.521138743920759,128,40,8,3.1643693693693873,0.8473282442748091,0.8468468468468469,0.2968018018018199,111.0,20.0,0.0,1228.6750000000009
16,0.191587024468725,4.771673581816933,124,44,8,2.057469026548692,0.8968253968253969,0.9292035398230089,0.2813628318584265,113.0,13.0,0.0,1422.4260000000006
17,0.17222736740500624,5.000729216096547,138,40,35,4.075000000000019,0.8027210884353742,0.8050847457627118,0.2699152542373069,118.0,29.0,0.0,1173.8000000000022
18,0.15818958998616522,4.913593283821554,127,38,5,2.8504561403508966,0.8571428571428571,0.868421052631579,0.2802807017544054,114.0,19.0,0.0,1309.998000000001
19,0.14428221999498203,4.997121928826623,140,40,4,2.545634146341481,0.8723404255319149,0.8943089430894309,0.2610813008130259,123.0,18.0,0.0,1466.8470000000013
20,0.13245591333369688,4.956545079660694,132,38,1,3.831504347826105,0.8156028368794326,0.8260869565217391,0.27324347826088785,115.0,26.0,0.0,1184.367
21,0.12123462626947171,5.102249607527997,133,39,5,2.454818965517259,0.8787878787878788,0.853448275862069,0.2686120689655351,116.0,16.0,0.0,1370.1910000000003
22,0.11135312645518762,5.356415368528927,128,41,1,3.531446428571448,0.8296296296296296,0.8035714285714286,0.28055357142859044,112.0,23.0,0.0,1174.4680000000003
23,0.1011073008935347,5.150491026399049,141,43,9,3.8118362068965688,0.8169014084507042,0.8275862068965517,0.28511206896553437,116.0,26.0,0.0,1197.7369999999999
24,0.0930988382899478,5.301668097756126,128,35,2,3.733559633027543,0.8195488721804511,0.8440366972477065,0.28768807339451563,109.0,24.0,0.0,1143.0220000000006
25,0.08516916444756983,5.348858801166663,121,40,17,1.9131666666666862,0.907563025210084,0.8611111111111112,0.2872407407407602,108.0,11.0,0.0,1338.2080000000008
26,0.07795387583392607,5.643262705560458,131,42,4,1.2849173553719175,0.9453125,0.8429752066115702,0.2725206611570414,121.0,7.0,0.0,1564.4850000000006
27,0.07160007054513429,5.3130178128971774,129,40,1,1.630780701754405,0.926829268292683,0.8070175438596491,0.27902631578949266,114.0,9.0,0.0,1414.0810000000004
28,0.0650770645625957,5.359615957549729,146,42,3,2.7387936507936668,0.8689655172413793,0.7936507936507936,0.26180952380953976,126.0,19.0,0.0,1414.8820000000003
29,0.05950437229556956,5.607781327636548,135,41,3,2.583218487394976,0.875,0.8487394957983193,0.271453781512623,119.0,17.0,0.0,1387.5669999999993
